layer,feat_idx,description,explanation_model,type,max_act_approx,frac_nonzero,top_pos_tokens,top_neg_tokens
0,922,terms related to climate change and environmental issues,gpt-4o-mini,oai_token-act-pair,0.863,0.03113492329915364," 2020, azine, schemas, naire, sworth","                     , č
        , 
                                                                ,  ,                                     "
0,3633, hierarchical and structured information related to courses or educational content,gpt-4o-mini,oai_token-act-pair,0.753,0.02992153167724609,")\\, ?), '];, }\\, ).\","», Ĳ, ħ, ¹, Ľ"
0,4258, details related to product specifications and features,gpt-4o-mini,oai_token-act-pair,0.758,0.06431039174397786,"½, ľ, ĻĤ, Īĺ, ĺ","bian, bee, velope, ENTIAL, combe"
0,6036, expressions of desire or intention,gpt-4o-mini,oai_token-act-pair,2.07,0.002428372701009115,"hift, mith, creen, manship, ided"," covers, ungs,  senses,  prepares,  presses"
0,8744, references to family or community involvement,gpt-4o-mini,oai_token-act-pair,1.286,0.06679217020670573,"

    ,                                                                      , 

     ,                                                                                                                                 ,                                                                          ","piece, ipro, amming, aked, ationally"
0,13467,"the word ""try"" in various contexts",gpt-4o-mini,oai_token-act-pair,5.927,0.0003611246744791667,"cket, erals, mates, bels, gery","AP, upon, CSF, CMC, GN"
0,16476,expressions of personal experiences and opinions related to emotional and physical challenges,gpt-4o-mini,oai_token-act-pair,0.842,0.2975832621256511," calm,  bang,  dry,  taste, ************************","Ŀ,  alia, £, onomy, ÏģÎŃ"
0,18282,"information related to API requests and their structural components, including statuses and query parameters",gpt-4o-mini,oai_token-act-pair,2.53,0.164709726969401,"nier, iere,  Nacional,  assists, acea","´, 
                               , 
            
           , č
                   ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 "
0,19199,specific software-related inquiries or guidance requests,gpt-4o-mini,oai_token-act-pair,3.988,0.0005861918131510416,"ĥ½,  
     , <|outofrange|>, 
                                              , 
                            ","ont, ons, ag, ject, Ã¢t"
0,21955," programming terminology, particularly related to data types and structures",gpt-4o-mini,oai_token-act-pair,1.092,0.004470189412434896,"*](#,  racist, ãĤĩ,  Fashion, /-/","cels, hole, determined, ontally, holes"
0,25630, references to attempts or endeavors related to various actions or activities,gpt-4o-mini,oai_token-act-pair,5.244,0.0006125768025716146,"manship, ace, have, hoe, hip","CSF, ynes, kte, jours, ÄŁ"
0,27693, mentions of specific companies or organizations involved in affiliate advertising,gpt-4o-mini,oai_token-act-pair,1.029,0.01486937204996745," Ã¨, stein, liche,  (,, bp"," precedent, iating, ities, iary, upon"
0,29237,"numerical values and metrics, often relating to financial or statistical data",gpt-4o-mini,oai_token-act-pair,0.499,0.09946409861246745," doubt, idin, igo, ising, ISA","ĻĤ, Ģ, Į, 

                   , 

            "
0,31061,specific terms related to skin conditions and immunological markers,gpt-4o-mini,oai_token-act-pair,0.845,0.03584988911946615,"naire,  poses, ensis,  (âĢľ, endi"," nothing,  damned,  toast,  harmless,  fuckin"
1,47, specific programming elements related to graphical user interface design,gpt-4o-mini,oai_token-act-pair,1.492,0.01261711120605469,"ript,  Redistributions,  attendant,  Anthrop, :`"," definitive, orio,  definite,  general,  site"
1,615, references to different types of roadways,gpt-4o-mini,oai_token-act-pair,4.427,0.001194636027018229,"ĭ, walks, pool, gos, ista"," resignation, >$,  morning,  poisoning, urity"
1,714, phrases indicating user reviews and customer experiences,gpt-4o-mini,oai_token-act-pair,1.93,0.01825968424479167," reviewers,  Reviews,  rating,  reviews,  Rating"," citizenship,  reservoir,  transportation,  reservoirs, ovsk"
1,827,"concepts related to cause and effect, particularly in biological and ecological contexts",gpt-4o-mini,oai_token-act-pair,1.898,0.01495933532714844,"aken,  compartment, orphous, {}{, akov","'s, ello, liche, bare, ¹"
1,868,"references to musical works, including songs and albums",gpt-4o-mini,oai_token-act-pair,2.783,0.0147552490234375," music,  songs,  album,  bass,  lyrics","¼, Ĥ, essen,  preventive, schemas"
1,1147, legal and political terminology related to the judicial process,gpt-4o-mini,oai_token-act-pair,0.54,0.04008229573567709,"|$, |}, |}\,  girls, \%$","Īĺ, Ń, ¬,             
 ,                                                                           "
1,1265,terms related to mathematical proofs and conditions,gpt-4o-mini,oai_token-act-pair,1.433,0.01207733154296875," classical,  generalized,  phenomenological,  conject,  intuition","», ousel,  iPhone, ului,  MLS"
